province_code,province_name_vi,district_code,commune_code,commune_name_vi,commune,district_name_vi,district,commune_type,area,pop_density,population,total_household,hh1_2,hh_2+,total_male,m0_14,m15_60,m60+,total_female,f0_14,f15_55,f55+,edu_primary,edu_secondary,edu_high_school,edu_higher,atm,branch,outlet,cluster_id
1,Thành phố Hà Nội,1,1,Phường Phúc Xá,Phuong Phuc Xa,Quận Ba Đình,Quan Ba Dinh,Phuong,0.894,24.561999999999998,21946,5863,1455,4408,10631,2382,6664,1585,11315,2331,6205,2779,1694,1151,730,857,0.0,1.0,1.0,3
1,Thành phố Hà Nội,1,4,Phường Trúc Bạch,Phuong Truc Bach,Quận Ba Đình,Quan Ba Dinh,Phuong,0.506,13.962,7065,1948,557,1391,3409,688,2017,704,3656,637,1853,1166,487,353,209,282,14.0,12.0,26.0,3
1,Thành phố Hà Nội,1,6,Phường Vĩnh Phúc,Phuong Vinh Phuc,Quận Ba Đình,Quan Ba Dinh,Phuong,0.715,33.376,23867,6314,1335,4979,11655,2722,7143,1790,12212,2542,6846,2824,1928,1153,718,1343,10.0,10.0,20.0,3
1,Thành phố Hà Nội,1,7,Phường Cống Vị,Phuong Cong Vi,Quận Ba Đình,Quan Ba Dinh,Phuong,0.5379999999999999,29.723000000000003,15979,4357,1079,3278,7824,1728,4766,1330,8155,1568,4505,2082,1170,872,545,799,20.0,15.0,35.0,3
1,Thành phố Hà Nội,1,8,Phường Liễu Giai,Phuong Lieu Giai,Quận Ba Đình,Quan Ba Dinh,Phuong,0.6809999999999999,30.974,21084,5639,1335,4304,10307,2320,6243,1744,10777,2003,6029,2745,1574,1004,719,1004,15.0,14.0,29.0,3
1,Thành phố Hà Nội,1,10,Phường Nguyễn Trung Trực,Phuong Nguyen Trung Truc,Quận Ba Đình,Quan Ba Dinh,Phuong,0.161,47.739,7705,2127,567,1560,3659,764,2155,740,4046,751,2099,1196,591,371,199,240,5.0,6.0,11.0,3
1,Thành phố Hà Nội,1,13,Phường Quán Thánh,Phuong Quan Thanh,Quận Ba Đình,Quan Ba Dinh,Phuong,0.778,10.187999999999999,7923,2078,460,1618,3952,660,2484,808,3971,666,1952,1353,489,322,226,509,30.0,19.0,49.0,3
1,Thành phố Hà Nội,1,16,Phường Ngọc Hà,Phuong Ngoc Ha,Quận Ba Đình,Quan Ba Dinh,Phuong,0.8240000000000001,23.483,19357,5257,1301,3956,9350,1969,5752,1629,10007,1797,5538,2672,1353,957,652,974,11.0,4.0,15.0,3
1,Thành phố Hà Nội,1,19,Phường Điện Biên,Phuong Dien Bien,Quận Ba Đình,Quan Ba Dinh,Phuong,0.9420000000000001,9.464,8912,2463,665,1798,4273,888,2492,893,4639,784,2372,1483,613,447,289,436,29.0,12.0,41.0,3
1,Thành phố Hà Nội,1,22,Phường Đội Cấn,Phuong Doi Can,Quận Ba Đình,Quan Ba Dinh,Phuong,0.405,35.503,14375,3812,907,2905,6850,1414,4102,1334,7525,1443,3934,2148,1048,724,485,688,11.0,19.0,30.0,3
