bank,bank_level,bank_code,detail,type,type_id,atm,branch,office,address,dia_chi_cu_the,ward_id,outlet,ward,ward_pop,district,district_id,ward_level,district_level,formatted_address,latitude,longitude,cluster_name,cluster_id,cluster_desc
Maritime Bank,Big,20,ATM 227 Ha Huy Tap,ATM,atm,1,0,0,"ATM Maritime Bank-ATM 227 Ha Huy Tap, Xa Yen Vien, Huyen Gia Lam, Ha Noi, Viet Nam","Maritime Bank Yên Viên, số 227 Hà Huy Tập, Yên Viên, Huyện Gia Lâm, Hà Nội, 24/7",532,1,Xa Yen Vien,13794,Huyen Gia Lam,18,Xa,Huyen ,"172 Hà Huy Tập, Yên Viên, Gia Lâm, Hà Nội, Vietnam",21.0820124,105.914061,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Sacombank,Big,29,ATM 1277-PGD Yen Vien,ATM,atm,1,0,0,"ATM Sacombank-ATM 1277-PGD Yen Vien, Xa Yen Vien, Huyen Gia Lam, Ha Noi, Viet Nam","455 Hà Huy Tập, TT Yên Viên, Gia Lâm, Hà Nội",532,1,Xa Yen Vien,13794,Huyen Gia Lam,18,Xa,Huyen ,"284, 522 Hà Huy Tập, Yên Viên, Gia Lâm, Hà Nội, Vietnam",21.0892302,105.9210935,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Vietinbank,Big,45,PGD Yen Thinh. ,Phong giao dich,office,0,0,1,"Phong giao dich VIETIN Bank-PGD Yen Thinh. , Xa Yen Thuong, Huyen Gia Lam, Ha Noi, Viet Nam","Số 8 Dốc Lã, Thôn Dốc Lã, huyện Gia Lâm, TP. Hà Nội",529,1,Xa Yen Thuong,17894,Huyen Gia Lam,18,Xa,Huyen,"104, Dốc Lã, Xã Yên Thường, Huyện Gia Lâm, Yên Thường, Gia Lâm, Hà Nội, Vietnam",21.1006522,105.9314533,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Vietinbank,Big,45,CN Dong Ha Noi,ATM,atm,1,0,0,"ATM Vietinbank-CN Dong Ha Noi, Xa Yen Thuong, Huyen Gia Lam, Ha Noi, Viet Nam","Trường CDXD CTDT, Xã Yên Thường, H Gia Lâm, TP Hà Nội",529,1,Xa Yen Thuong,17894,Huyen Gia Lam,18,Xa,Huyen ,"284 Hà Huy Tập, Yên Viên, Gia Lâm, Hà Nội, Vietnam",21.0839803,105.9162234,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
VPBank,Big,46,Cong ty CP Trang An ATM,ATM,atm,1,0,0,"ATM VPBank-Cong ty CP Trang An ATM, Xa Yen Son, Huyen Quoc Oai, Ha Noi, Viet Nam","KCN Thạch Thất, xã Yên Sơn, huyện Quốc Oai, HN",9904,1,Xa Yen Son,7780,Huyen Quoc Oai,275,Xa,Huyen ,"CONG TY CP TRANG AN KCN THACH THAT, Yên Sơn, Quốc Oai, Hà Nội, Vietnam",21.0098928,105.6373671,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
MB,Big,21,ATM Cong ty TNHH MTV Cao su 75,ATM,atm,1,0,0,"ATM MB-ATM Cong ty TNHH MTV Cao su 75, Xa Xuan Son, Thi xa Son Tay, Ha Noi, Viet Nam","Khu tập thể Cty TNHH MTV Cao su 75, Xuân Sơn, thị xã Sơn Tây, TP Hà Nội",9598,1,Xa Xuan Son,8769,Thi xa Son Tay,269,Xa,Thi xa ,"Z175, Xuân Sơn, Sơn Tây, Hà Nội 12710, Vietnam",21.1429016,105.4534338,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Agribank,Big,3,Ha Dong,Phong giao dich,office,0,0,1,"Phong giao dich Agribank-Ha Dong, Xa Xuan Giang, Huyen Soc Son, Ha Noi, Viet Nam","Khu vực Chợ Thá, Xã Xuân Giang, Huyện Sóc Sơn, Thành phố Hà Nội",424,1,Xa Xuan Giang,10710,Huyen Soc Son,16,Xa,Huyen,"QL3, Tiên Dược, Sóc Sơn, Hà Nội, Vietnam",21.2530416,105.8484385,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Agribank,Big,3,Long Bien,Phong giao dich,office,0,0,1,"Phong giao dich Agribank-Long Bien, Xa Xuan Canh, Huyen Dong Anh, Ha Noi, Viet Nam","Thôn Vạn Lộc, Xã Xuân Canh, Huyện Đông Anh, Thành phố Hà Nội",511,1,Xa Xuan Canh,12159,Huyen Dong Anh,17,Xa,Huyen,"309, Đường Đ. Nguyễn Văn Cừ, Ngọc Lâm, Long Biên, Hà Nội, Vietnam",21.045883,105.8753399,Group 4,4,"Sparsely populated area, high ratio of elders"
Agribank,Big,3,Long Bien,Phong giao dich,office,0,0,1,"Phong giao dich Agribank-Long Bien, Xa Vong Xuyen, Huyen Phuc Tho, Ha Noi, Viet Nam","Cụm 11, Xã Võng Xuyên, Huyện Phúc Thọ, Thành phố Hà Nội.",9739,1,Xa Vong Xuyen,17082,Huyen Phuc Tho,272,Xa,Huyen,"p. Long Biên, Long Biên, Hà Nội, Vietnam",21.0186765,105.884813,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Eximbank,Medium,13,Khu Cong nghiep Thang Long:,ATM,atm,1,0,0,"ATM Eximbank-Khu Cong nghiep Thang Long:, Xa Vong La, Huyen Dong Anh, Ha Noi, Viet Nam","Phòng 5, Cổng Pha 2, Võng La, H.Đông Anh, Tp.Hà Nội",514,1,Xa Vong La,14206,Huyen Dong Anh,17,Xa,Huyen ,"P110 Trung tâm công nghệ, Khu công nghiệp Thăng Long, Kim Chung, Đông Anh, Hà Nội, Vietnam",21.124205,105.7790208,Group 2,2,"Population ages are uniformly distributed, low number of households"
