province_code,province_name_vi,district_code,commune_code,commune_name_vi,commune_name_en,district_name_vi,district_name_en,commune_type,area,pop_density,population,total_household,hh1_2,hh_2+,total_male,m0_14,m15_60,m60+,total_female,f0_14,f15_55,f55+,edu_primary,edu_secondary,edu_high_school,edu_higher
1,Thành phố Hà Nội,1,1,Phường Phúc Xá,Phuong Phuc Xa,Quận Ba Đình,Quan Ba Dinh,Phuong,0.894,24.562,"21,946","5,863","1,455","4,408","10,631",2382,6664,1585,"11,315","2,331","6,205","2,779","1,694","1,151",730,857
1,Thành phố Hà Nội,1,4,Phường Trúc Bạch,Phuong Truc Bach,Quận Ba Đình,Quan Ba Dinh,Phuong,0.506,13.962,"7,065","1,948",557,"1,391","3,409",688,2017,704,"3,656",637,"1,853","1,166",487,353,209,282
1,Thành phố Hà Nội,1,6,Phường Vĩnh Phúc,Phuong Vinh Phuc,Quận Ba Đình,Quan Ba Dinh,Phuong,0.715,33.376,"23,867","6,314","1,335","4,979","11,655",2722,7143,1790,"12,212","2,542","6,846","2,824","1,928","1,153",718,1343
1,Thành phố Hà Nội,1,7,Phường Cống Vị,Phuong Cong Vi,Quận Ba Đình,Quan Ba Dinh,Phuong,0.538,29.723,"15,979","4,357","1,079","3,278","7,824",1728,4766,1330,"8,155","1,568","4,505","2,082","1,170",872,545,799
1,Thành phố Hà Nội,1,8,Phường Liễu Giai,Phuong Lieu Giai,Quận Ba Đình,Quan Ba Dinh,Phuong,0.681,30.974,"21,084","5,639","1,335","4,304","10,307",2320,6243,1744,"10,777","2,003","6,029","2,745","1,574","1,004",719,1004
1,Thành phố Hà Nội,1,10,Phường Nguyễn Trung Trực,Phuong Nguyen Trung Truc,Quận Ba Đình,Quan Ba Dinh,Phuong,0.161,47.739,"7,705","2,127",567,"1,560","3,659",764,2155,740,"4,046",751,"2,099","1,196",591,371,199,240
1,Thành phố Hà Nội,1,13,Phường Quán Thánh,Phuong Quan Thanh,Quận Ba Đình,Quan Ba Dinh,Phuong,0.778,10.188,"7,923","2,078",460,"1,618","3,952",660,2484,808,"3,971",666,"1,952","1,353",489,322,226,509
1,Thành phố Hà Nội,1,16,Phường Ngọc Hà,Phuong Ngoc Ha,Quận Ba Đình,Quan Ba Dinh,Phuong,0.824,23.483,"19,357","5,257","1,301","3,956","9,350",1969,5752,1629,"10,007","1,797","5,538","2,672","1,353",957,652,974
1,Thành phố Hà Nội,1,19,Phường Điện Biên,Phuong Dien Bien,Quận Ba Đình,Quan Ba Dinh,Phuong,0.942,9.464,"8,912","2,463",665,"1,798","4,273",888,2492,893,"4,639",784,"2,372","1,483",613,447,289,436
1,Thành phố Hà Nội,1,22,Phường Đội Cấn,Phuong Doi Can,Quận Ba Đình,Quan Ba Dinh,Phuong,0.405,35.503,"14,375","3,812",907,"2,905","6,850",1414,4102,1334,"7,525","1,443","3,934","2,148","1,048",724,485,688
1,Thành phố Hà Nội,1,25,Phường Ngọc Khánh,Phuong Ngoc Khanh,Quận Ba Đình,Quan Ba Dinh,Phuong,1.016,20.038,"20,363","5,847","1,810","4,037","9,688",2234,5827,1627,"10,675","2,105","5,878","2,692","1,615","1,102",719,1008
1,Thành phố Hà Nội,1,28,Phường Kim Mã,Phuong Kim Ma,Quận Ba Đình,Quan Ba Dinh,Phuong,0.486,29.327,"14,259","4,029","1,183","2,846","6,804",1467,4118,1219,"7,455","1,354","4,077","2,024","1,028",743,471,668
1,Thành phố Hà Nội,1,31,Phường Giảng Võ,Phuong Giang Vo,Quận Ba Đình,Quan Ba Dinh,Phuong,0.62,28.497,"17,665","5,183","1,545","3,638","8,506",1902,5223,1381,"9,159","1,733","5,178","2,248","1,348","1,031",665,946
1,Thành phố Hà Nội,1,34,Phường Thành Công,Phuong Thanh Cong,Quận Ba Đình,Quan Ba Dinh,Phuong,0.642,33.302,"21,393","6,342","1,942","4,400","10,166",2536,6013,1617,"11,227","2,181","6,340","2,706","1,747","1,210",668,1149
1,Thành phố Hà Nội,2,37,Phường Phúc Tân,Phuong Phuc Tan,Quận Hoàn Kiếm,Quan Hoan Kiem,Phuong,0.76,22.179,"16,856","4,638","1,235","3,403","8,376",1845,5522,1009,"8,480","1,620","4,987","1,873","1,252",781,491,519
1,Thành phố Hà Nội,2,40,Phường Đồng Xuân,Phuong Dong Xuan,Quận Hoàn Kiếm,Quan Hoan Kiem,Phuong,0.17,55.288,"9,399","2,402",592,"1,810","4,484",905,2782,797,"4,915",811,"2,755","1,349",635,413,274,335
1,Thành phố Hà Nội,2,43,Phường Hàng Mã,Phuong Hang Ma,Quận Hoàn Kiếm,Quan Hoan Kiem,Phuong,0.15,46.473,"6,971","1,836",480,"1,356","3,381",675,1983,723,"3,590",572,"1,849","1,169",449,287,208,297
1,Thành phố Hà Nội,2,46,Phường Hàng Buồm,Phuong Hang Buom,Quận Hoàn Kiếm,Quan Hoan Kiem,Phuong,0.13,41.285,"5,367","1,531",475,"1,056","2,604",488,1580,536,"2,763",451,"1,403",909,333,246,156,207
1,Thành phố Hà Nội,2,49,Phường Hàng Đào,Phuong Hang Dao,Quận Hoàn Kiếm,Quan Hoan Kiem,Phuong,0.07,77.043,"5,393","1,553",487,"1,066","2,512",434,1546,532,"2,881",469,"1,502",910,336,212,164,233
1,Thành phố Hà Nội,2,52,Phường Hàng Bồ,Phuong Hang Bo,Quận Hoàn Kiếm,Quan Hoan Kiem,Phuong,0.09,58.256,"5,243","1,480",442,"1,038","2,472",483,1452,537,"2,771",473,"1,459",839,350,217,168,247
1,Thành phố Hà Nội,2,55,Phường Cửa Đông,Phuong Cua Dong,Quận Hoàn Kiếm,Quan Hoan Kiem,Phuong,0.14,44.071,"6,170","1,802",606,"1,196","2,955",546,1823,586,"3,215",505,"1,688","1,022",364,253,141,290
1,Thành phố Hà Nội,2,58,Phường Lý Thái Tổ,Phuong Ly Thai To,Quận Hoàn Kiếm,Quan Hoan Kiem,Phuong,0.23,22.4,"5,152","1,391",390,"1,001","2,492",522,1501,469,"2,660",468,"1,415",777,371,224,145,241
1,Thành phố Hà Nội,2,61,Phường Hàng Bạc,Phuong Hang Bac,Quận Hoàn Kiếm,Quan Hoan Kiem,Phuong,0.09,57.711,"5,194","1,372",445,927,"2,487",385,1626,476,"2,707",424,"1,464",819,283,191,122,183
1,Thành phố Hà Nội,2,64,Phường Hàng Gai,Phuong Hang Gai,Quận Hoàn Kiếm,Quan Hoan Kiem,Phuong,0.09,64.3,"5,787","1,587",485,"1,102","2,767",557,1637,573,"3,020",479,"1,575",966,387,263,167,250
1,Thành phố Hà Nội,2,67,Phường Chương Dương,Phuong Chuong Duong,Quận Hoàn Kiếm,Quan Hoan Kiem,Phuong,1.017,22.562,"22,946","6,554","1,969","4,585","11,195",2531,7031,1633,"11,751","2,243","6,647","2,861","1,746","1,230",767,975
1,Thành phố Hà Nội,2,70,Phường Hàng Trống,Phuong Hang Trong,Quận Hoàn Kiếm,Quan Hoan Kiem,Phuong,0.35,15.783,"5,524","1,397",367,"1,030","2,677",544,1596,537,"2,847",459,"1,469",919,370,266,153,328
1,Thành phố Hà Nội,2,73,Phường Cửa Nam,Phuong Cua Nam,Quận Hoàn Kiếm,Quan Hoan Kiem,Phuong,0.253,25.277,"6,385","1,856",632,"1,224","3,067",619,1793,655,"3,318",518,"1,708","1,092",409,273,183,309
1,Thành phố Hà Nội,2,76,Phường Hàng Bông,Phuong Hang Bong,Quận Hoàn Kiếm,Quan Hoan Kiem,Phuong,0.18,40.033,"7,206","1,737",361,"1,376","3,466",762,2087,617,"3,740",697,"2,054",989,484,362,216,345
1,Thành phố Hà Nội,2,79,Phường Tràng Tiền,Phuong Trang Tien,Quận Hoàn Kiếm,Quan Hoan Kiem,Phuong,0.386,12.062,"4,656","1,164",286,878,"2,146",471,1236,439,"2,510",436,"1,325",749,349,245,155,229
1,Thành phố Hà Nội,2,82,Phường Trần Hưng Đạo,Phuong Tran Hung Dao,Quận Hoàn Kiếm,Quan Hoan Kiem,Phuong,0.5,14.078,"7,039","2,025",614,"1,411","3,303",677,1933,693,"3,736",629,"1,945","1,162",485,325,214,370
1,Thành phố Hà Nội,2,85,Phường Phan Chu Trinh,Phuong Phan Chu Trinh,Quận Hoàn Kiếm,Quan Hoan Kiem,Phuong,0.406,11.936,"4,846","1,426",464,962,"2,320",460,1400,460,"2,526",423,"1,305",798,313,245,149,277
1,Thành phố Hà Nội,2,88,Phường Hàng Bài,Phuong Hang Bai,Quận Hoàn Kiếm,Quan Hoan Kiem,Phuong,0.276,19.87,"5,484","1,563",482,"1,081","2,564",503,1519,542,"2,920",502,"1,457",961,358,268,158,292
1,Thành phố Hà Nội,3,91,Phường Phú Thượng,Phuong Phu Thuong,Quận Tây Hồ,Quan Tay Ho,Phuong,6.53,3.993,"26,071","6,666","1,286","5,380","12,768",3548,7658,1562,"13,303","3,216","7,405","2,682","2,408","1,584",866,918
1,Thành phố Hà Nội,3,94,Phường Nhật Tân,Phuong Nhat Tan,Quận Tây Hồ,Quan Tay Ho,Phuong,3.759,4.149,"15,597","4,554","1,229","3,325","7,651",1937,4755,959,"7,946","1,804","4,499","1,643","1,318",882,513,558
1,Thành phố Hà Nội,3,97,Phường Tứ Liên,Phuong Tu Lien,Quận Tây Hồ,Quan Tay Ho,Phuong,2.91,6.31,"18,360","4,799","1,085","3,714","9,001",2208,5511,1282,"9,359","2,085","5,164","2,110","1,620","1,038",610,674
1,Thành phố Hà Nội,3,100,Phường Quảng An,Phuong Quang An,Quận Tây Hồ,Quan Tay Ho,Phuong,3.779,2.723,"10,290","2,609",560,"2,049","4,988",1131,2957,900,"5,302","1,048","2,790","1,464",805,549,337,362
1,Thành phố Hà Nội,3,103,Phường Xuân La,Phuong Xuan La,Quận Tây Hồ,Quan Tay Ho,Phuong,2.402,11.45,"27,500","7,740","2,186","5,554","13,548",3438,8620,1490,"13,952","3,086","8,467","2,399","2,268","1,448",869,1929
1,Thành phố Hà Nội,3,106,Phường Yên Phụ,Phuong Yen Phu,Quận Tây Hồ,Quan Tay Ho,Phuong,1.472,15.832,"23,301","6,183","1,481","4,702","11,356",2618,6817,1921,"11,945","2,376","6,438","3,131","1,799","1,235",718,908
1,Thành phố Hà Nội,3,109,Phường Bưởi,Phuong Buoi,Quận Tây Hồ,Quan Tay Ho,Phuong,1.484,16.702,"24,778","6,507","1,503","5,004","12,065",2771,7155,2139,"12,713","2,483","6,788","3,442","1,896","1,293",860,1113
